run, name, in_degree, out_degree, total_degree, distance, exp_utility, exp_gini, mutual_info, exp_independent, size_before, min, max
1, EXPCO2, 2, 0, 2, 1, 0.1582275839753129, 0.146654162772894, 0.41091979682528845, 26.501493476375817, 24, 24, 31
1, PVSAT, 2, 1, 3, 2, 0.08329803265078733, 0.06417031506090032, 0.16653062898716298, 26.098084882901215, 24, 25, 28
1, SAO2, 2, 1, 3, 2, 0.0755685273017768, 0.05044726022714091, 0.1359705684994743, 24.79310790152949, 24, 22, 25
1, SHUNT, 2, 1, 3, 3, 0.07060850826648996, 0.029625347061135787, 0.08215860505169681, 23.758269376617136, 24, 13, 25
1, INTUBATION, 0, 5, 5, 2, 0.15846627534832314, 0.14156055738798617, 0.3250887285736992, 28.893578665903846, 24, 28, 29
1, PRESS, 3, 0, 3, 3, 0.11636578734337769, 0.053875192004990635, 0.13568738734218255, 23.323148270876672, 24, 17, 24
1, VENTTUBE, 2, 2, 4, 3, 0.04014062320432467, 0.022797793832138924, 0.056301404431920776, 24.949990675738103, 24, 23, 26
1, VENTALV, 2, 2, 4, 1, 0.19989629614108845, 0.18834784558053758, 0.4446021053142464, 30.06841176134268, 24, 30, 31
2, EXPCO2, 2, 0, 2, 1, 0.04825821633393686, 0.02405699027906083, 0.06957909910816573, 23.32835271355562, 24, 21, 30
2, MINVOL, 2, 0, 2, 3, 0.2879509375327465, 0.2305392438100816, 0.5123979123353748, 28.301384970519198, 24, 25, 29
2, PVSAT, 2, 1, 3, 2, 0.279524987033734, 0.24337480727125618, 0.5464366509813054, 30.608393611990003, 24, 28, 31
2, SAO2, 2, 1, 3, 2, 0.2553124407026134, 0.20624088639149415, 0.44412391969500054, 28.38697475273671, 24, 14, 29
2, DISCONNECT, 0, 1, 1, 4, 0.07392312219607303, 0.026809358486269252, 0.05229305267357631, 23.100000002050322, 24, 15, 24
2, MINVOLSET, 0, 1, 1, 5, 0.09238888632619086, 0.04430132400580644, 0.08433610941198266, 23.75000000074138, 24, 21, 24
2, VENTMACH, 1, 1, 2, 4, 0.1454575414037846, 0.07234841426772481, 0.14291525777157632, 25.45800000154689, 24, 22, 26
2, VENTTUBE, 2, 2, 4, 3, 0.2311312972118259, 0.1332958300093074, 0.28794361794994927, 27.071392002646483, 24, 24, 29
2, VENTLUNG, 3, 3, 6, 2, 0.2715072966440095, 0.19751827605450073, 0.437508177840645, 28.396364568894647, 24, 25, 33
2, VENTALV, 2, 2, 4, 1, 0.3417500729672338, 0.31815716297999447, 0.7548939612673523, 33.8101725784848, 24, 33, 34
2, CATECHOL, 4, 1, 5, 1, 0.08873438640037015, 0.037474159803629226, 0.07444862810219299, 24.516605167455904, 24, 20, 25
3, MINVOL, 2, 0, 2, 3, 0.2852550802005687, 0.19228988531083802, 0.42918037682697974, 27.75402167712833, 28, 18, 30
3, PVSAT, 2, 1, 3, 2, 0.28534735338060013, 0.24074348737992762, 0.5315044836807731, 30.685065513425958, 28, 28, 31
3, SAO2, 2, 1, 3, 2, 0.2644249890113648, 0.20886371367771767, 0.4453197159749972, 28.63352782836123, 28, 24, 30
3, VENTLUNG, 3, 3, 6, 2, 0.29434846332247944, 0.2536041902788666, 0.5625558112220853, 30.52481499551172, 28, 25, 32
3, VENTALV, 2, 2, 4, 1, 0.34745662365966545, 0.32158277520764544, 0.7532625586120726, 33.00000000000001, 28, 33, 33
